"","year","borough","desc","count"
"1","2007","","",9
"2","2007","","ADMINISTRATIVE CODE",2
"3","2007","","ARSON",2
"4","2007","","ASSAULT 3 & RELATED OFFENSES",103
"5","2007","","BURGLAR'S TOOLS",3
"6","2007","","BURGLARY",31
"7","2007","","CRIMINAL MISCHIEF & RELATED OF",53
"8","2007","","CRIMINAL TRESPASS",17
"9","2007","","DANGEROUS DRUGS",101
"10","2007","","DANGEROUS WEAPONS",43
"11","2007","","FELONY ASSAULT",47
"12","2007","","FORGERY",16
"13","2007","","FRAUDS",2
"14","2007","","GAMBLING",1
"15","2007","","GRAND LARCENY",57
"16","2007","","GRAND LARCENY OF MOTOR VEHICLE",29
"17","2007","","HARRASSMENT 2",63
"18","2007","","INTOXICATED & IMPAIRED DRIVING",28
"19","2007","","KIDNAPPING & RELATED OFFENSES",1
"20","2007","","MISCELLANEOUS PENAL LAW",25
"21","2007","","MURDER & NON-NEGL. MANSLAUGHTER",485
"22","2007","","OFF. AGNST PUB ORD SENSBLTY &",36
"23","2007","","OFFENSES AGAINST PUBLIC ADMINI",19
"24","2007","","OFFENSES AGAINST PUBLIC SAFETY",1
"25","2007","","OFFENSES AGAINST THE PERSON",5
"26","2007","","OFFENSES INVOLVING FRAUD",4
"27","2007","","OTHER OFFENSES RELATED TO THEF",1
"28","2007","","PETIT LARCENY",121
"29","2007","","POSSESSION OF STOLEN PROPERTY",9
"30","2007","","RAPE",4
"31","2007","","ROBBERY",14
"32","2007","","SEX CRIMES",9
"33","2007","","THEFT-FRAUD",6
"34","2007","","UNAUTHORIZED USE OF A VEHICLE",1
"35","2007","","VEHICLE AND TRAFFIC LAWS",12
"36","2007","BRONX","",522
"37","2007","BRONX","ADMINISTRATIVE CODE",228
"38","2007","BRONX","ALCOHOLIC BEVERAGE CONTROL LAW",41
"39","2007","BRONX","ANTICIPATORY OFFENSES",2
"40","2007","BRONX","ARSON",385
"41","2007","BRONX","ASSAULT 3 & RELATED OFFENSES",11760
"42","2007","BRONX","BURGLAR'S TOOLS",15
"43","2007","BRONX","BURGLARY",3873
"44","2007","BRONX","CHILD ABANDONMENT/NON SUPPORT",23
"45","2007","BRONX","CRIMINAL MISCHIEF & RELATED OF",11320
"46","2007","BRONX","CRIMINAL TRESPASS",3480
"47","2007","BRONX","DANGEROUS DRUGS",15653
"48","2007","BRONX","DANGEROUS WEAPONS",3725
"49","2007","BRONX","DISRUPTION OF A RELIGIOUS SERV",1
"50","2007","BRONX","ENDAN WELFARE INCOMP",3
"51","2007","BRONX","ESCAPE 3",10
"52","2007","BRONX","FELONY ASSAULT",4352
"53","2007","BRONX","FORGERY",984
"54","2007","BRONX","FRAUDS",453
"55","2007","BRONX","FRAUDULENT ACCOSTING",18
"56","2007","BRONX","GAMBLING",57
"57","2007","BRONX","GRAND LARCENY",5295
