"year","desc","count"
"2006","",3605
"2006","ADMINISTRATIVE CODE",1144
"2006","ADMINISTRATIVE CODES",2
"2006","ALCOHOLIC BEVERAGE CONTROL LAW",73
"2006","ANTICIPATORY OFFENSES",15
"2006","ARSON",1691
"2006","ASSAULT 3 & RELATED OFFENSES",51451
"2006","BURGLAR'S TOOLS",148
"2006","BURGLARY",22941
"2006","CHILD ABANDONMENT/NON SUPPORT",44
"2006","CRIMINAL MISCHIEF & RELATED OF",52975
"2006","CRIMINAL TRESPASS",6429
"2006","DANGEROUS DRUGS",33540
"2006","DANGEROUS WEAPONS",10461
"2006","DISRUPTION OF A RELIGIOUS SERV",6
"2006","ENDAN WELFARE INCOMP",12
"2006","ESCAPE 3",19
"2006","FELONY ASSAULT",16948
"2006","FORGERY",6326
"2006","FORTUNE TELLING",2
"2006","FRAUDS",2649
"2006","FRAUDULENT ACCOSTING",291
"2006","GAMBLING",171
"2006","GRAND LARCENY",46009
"2006","GRAND LARCENY OF MOTOR VEHICLE",15618
"2006","HARRASSMENT 2",68544
"2006","HOMICIDE-NEGLIGENT-VEHICLE",5
"2006","HOMICIDE-NEGLIGENT,UNCLASSIFIE",26
"2006","INTOXICATED & IMPAIRED DRIVING",6942
"2006","INTOXICATED/IMPAIRED DRIVING",2
"2006","JOSTLING",23
"2006","KIDNAPPING & RELATED OFFENSES",303
"2006","LOITERING",1
"2006","LOITERING FOR DRUG PURPOSES",4
"2006","LOITERING/DEVIATE SEX",2
"2006","LOITERING/GAMBLING (CARDS, DIC",31
"2006","MISCELLANEOUS PENAL LAW",9831
"2006","MURDER & NON-NEGL. MANSLAUGHTER",567
"2006","NEW YORK CITY HEALTH CODE",8
"2006","NYS LAWS-UNCLASSIFIED FELONY",313
"2006","OFF. AGNST PUB ORD SENSBLTY &",33773
"2006","OFFENSES AGAINST PUBLIC ADMINI",5422
"2006","OFFENSES AGAINST PUBLIC SAFETY",48
"2006","OFFENSES AGAINST THE PERSON",1119
"2006","OFFENSES INVOLVING FRAUD",1900
"2006","OFFENSES RELATED TO CHILDREN",32
"2006","OTHER OFFENSES RELATED TO THEF",475
"2006","OTHER STATE LAWS",20
"2006","OTHER STATE LAWS (NON PENAL LA",643
"2006","PETIT LARCENY",80001
"2006","PETIT LARCENY OF MOTOR VEHICLE",171
"2006","POSSESSION OF STOLEN PROPERTY",3027
"2006","PROSTITUTION & RELATED OFFENSES",43
"2006","RAPE",1524
"2006","ROBBERY",22854
"2006","SEX CRIMES",5931
"2006","THEFT-FRAUD",5810
"2006","UNAUTHORIZED USE OF A VEHICLE",1284
"2006","UNLAWFUL POSS. WEAP. ON SCHOOL",6
"2006","VEHICLE AND TRAFFIC LAWS",5821
"2007","",2081
"2007","ABORTION",2
"2007","ADMINISTRATIVE CODE",1098
"2007","ADMINISTRATIVE CODES",2
"2007","ALCOHOLIC BEVERAGE CONTROL LAW",77
"2007","ANTICIPATORY OFFENSES",13
"2007","ARSON",1562
"2007","ASSAULT 3 & RELATED OFFENSES",51038
"2007","BURGLAR'S TOOLS",192
"2007","BURGLARY",21642
"2007","CHILD ABANDONMENT/NON SUPPORT",62
"2007","CRIMINAL MISCHIEF & RELATED OF",55826
"2007","CRIMINAL TRESPASS",8031
"2007","DANGEROUS DRUGS",39842
"2007","DANGEROUS WEAPONS",12654
"2007","DISRUPTION OF A RELIGIOUS SERV",7
"2007","ENDAN WELFARE INCOMP",6
"2007","ESCAPE 3",33
"2007","FELONY ASSAULT",17308
"2007","FORGERY",5983
"2007","FORTUNE TELLING",2
"2007","FRAUDS",2607
"2007","FRAUDULENT ACCOSTING",235
"2007","GAMBLING",237
"2007","GRAND LARCENY",44570
"2007","GRAND LARCENY OF MOTOR VEHICLE",13137
"2007","HARRASSMENT 2",65034
"2007","HOMICIDE-NEGLIGENT-VEHICLE",6
"2007","HOMICIDE-NEGLIGENT,UNCLASSIFIE",10
"2007","INTOXICATED & IMPAIRED DRIVING",8629
"2007","JOSTLING",15
"2007","KIDNAPPING & RELATED OFFENSES",296
"2007","LOITERING",1
"2007","LOITERING FOR DRUG PURPOSES",4
"2007","LOITERING/GAMBLING (CARDS, DIC",49
"2007","MISCELLANEOUS PENAL LAW",10600
"2007","MURDER & NON-NEGL. MANSLAUGHTER",485
"2007","NEW YORK CITY HEALTH CODE",9
"2007","NYS LAWS-UNCLASSIFIED FELONY",395
"2007","OFF. AGNST PUB ORD SENSBLTY &",33183
"2007","OFFENSES AGAINST PUBLIC ADMINI",9634
"2007","OFFENSES AGAINST PUBLIC SAFETY",50
"2007","OFFENSES AGAINST THE PERSON",1273
"2007","OFFENSES INVOLVING FRAUD",1795
"2007","OFFENSES RELATED TO CHILDREN",194
"2007","OTHER OFFENSES RELATED TO THEF",656
"2007","OTHER STATE LAWS",42
"2007","OTHER STATE LAWS (NON PENAL LA",792
"2007","OTHER TRAFFIC INFRACTION",1
"2007","PETIT LARCENY",79755
"2007","PETIT LARCENY OF MOTOR VEHICLE",127
"2007","POSSESSION OF STOLEN PROPERTY",2926
"2007","PROSTITUTION & RELATED OFFENSES",102
"2007","RAPE",1285
"2007","ROBBERY",21400
"2007","SEX CRIMES",5469
"2007","THEFT-FRAUD",6097
"2007","THEFT OF SERVICES",11
"2007","UNAUTHORIZED USE OF A VEHICLE",1303
"2007","UNLAWFUL POSS. WEAP. ON SCHOOL",3
